model,ecephys_probe_id,ecephys_structure_acronym,units,ccf_ap_mm,ccf_ml_mm,observed_azimuth_deg,observed_elevation_deg,predicted_azimuth_deg,predicted_elevation_deg,rf_vector_error_deg,named_area_distance_px
geometry_only,800036196,VISam,42,7.677,7.506,55.447961,24.732889,49.012058,-0.10236503,25.655617,0
geometry_only,800036198,VISam,12,7.914,7.407,35.216132,25.98236,35,0,25.983259,0
geometry_only,800036200,VISp,86,9.004,8.215,57.328272,13.418447,56.738503,9.8116328,3.6547147,0
geometry_only,800036202,VISl,63,8.459,9.784,44.158262,-4.932775,32.608852,-4.9999998,11.549606,0.87817072
geometry_only,800036204,VISal,43,8.16,9.737,71.909854,18.08813,45,-1.4774405e-08,32.424076,0
geometry_only,800036206,VISrl,29,7.299,8.855,40.306536,-4.9096602,36.885338,-15,10.654556,0
range_expansion,800036196,VISam,42,7.677,7.506,55.447961,24.732889,55.693724,15.305466,9.4306251,0
range_expansion,800036198,VISam,12,7.914,7.407,35.216132,25.98236,41.605102,15.305481,12.442455,0
range_expansion,800036200,VISp,86,9.004,8.215,57.328272,13.418447,59.59103,20.088374,7.0432947,0
range_expansion,800036202,VISl,63,8.459,9.784,44.158262,-4.932775,39.066221,8.7985118,14.645038,0.2420618
range_expansion,800036204,VISal,43,8.16,9.737,71.909854,18.08813,51.789386,15.294607,20.313469,0
range_expansion,800036206,VISrl,29,7.299,8.855,40.306536,-4.9096602,45.811654,-3.516585,5.6786423,1.4142135
smooth_residual,800036196,VISam,42,7.677,7.506,55.447961,24.732889,54.711763,24.379722,0.81652543,0
smooth_residual,800036198,VISam,12,7.914,7.407,35.216132,25.98236,36.308109,25.2567,1.3111057,0
smooth_residual,800036200,VISp,86,9.004,8.215,57.328272,13.418447,57.533497,14.025175,0.64049621,0
smooth_residual,800036202,VISl,63,8.459,9.784,44.158262,-4.932775,45.278074,-2.621103,2.5686194,0.2420618
smooth_residual,800036204,VISal,43,8.16,9.737,71.909854,18.08813,69.379364,16.388017,3.048568,0
smooth_residual,800036206,VISrl,29,7.299,8.855,40.306536,-4.9096602,40.811723,-4.7800062,0.52155878,1.4142135
